175,Boston Bruins,Matthew Benning\bennima01,CA,D,18,,Spruce Grove (AJHL),,,,,,,,,,,,
176,St. Louis Blues,Petteri Lindbohm\lindbpe02,FI,D,18,2016,Jokerit Jr. (Finland-Jr.),33,2,1,3,-5,33,,,,,,
177,Vancouver Canucks,Wesley Myron\myronwe01,CA,LW,20,,Victoria (WHL),,,,,,,,,,,,
178,Phoenix Coyotes,Hunter Fejes\fejeshu01,US,LW,18,,Shattuck-St. Mary's (High-MN),,,,,,,,,,,,
179,Nashville Predators,Marek Mazanec\mazanma01,CZ,G,21,2015,Plzen (Czech),27,0,0,0,0,0,27,8,11,4,.902,2.76
180,New Jersey Devils,Artur Gavrus\gavruar01,BY,C/LW,18,,Owen Sound (OHL),,,,,,,,,,,,
181,Los Angeles Kings,Paul Ladue\laduepa01,US,D,20,,Lincoln (USHL),,,,,,,,,,,,
,Round 7,Round 7,,,,,,NHL Scoring Stats,NHL Scoring Stats,NHL Scoring Stats,NHL Scoring Stats,NHL Scoring Stats,NHL Scoring Stats,NHL Goalie Stats,NHL Goalie Stats,NHL Goalie Stats,NHL Goalie Stats,NHL Goalie Stats,NHL Goalie Stats
Overall,Team,Player,Nat.,Pos,Age,To,Amateur Team,GP,G,A,PTS,+/-,PIM,GP,W,L,T/O,SV%,GAA
182,Columbus Blue Jackets,Gianluca Curcuruto\curcugi01,CA,D,18,,Sault Ste. Marie (OHL),,,,,,,,,,,,
183,Dallas Stars,Dmitry Sinitsyn\sinitdm01,RU,D,18,,Zelenograd Jr./U. Mass-Lowell (H-East),,,,,,,,,,,,
184,Phoenix Coyotes,Marek Langhamer\langhma01,CZ,G,18,,Pardubice Jr. (Czech),,,,,,,,,,,,
185,New York Islanders,Jake Bischoff\bischja01,US,D,18,,Grand Rapids (High-MN),,,,,,,,,,,,
186,Calgary Flames,Matthew Deblouw\debloma01,US,C,18,,Muskegon (USHL),,,,,,,,,,,,
187,Anaheim Ducks,Kenton Helgesen\helgeke01,CA,D,18,,Calgary (WHL),,,,,,,,,,,,
188,Minnesota Wild,Louis Nanne\nannelo02,US,LW,18,,Edina High (High-MN),,,,,,,,,,,,
189,Carolina Hurricanes,Brendan Collier\collibr01,US,LW,18,,Malden Catholic (High-MA),,,,,,,,,,,,
190,Winnipeg Jets,Jamie Phillips\phillja01,CA,G,19,,Toronto Jr. Canadiens (OJHL),,,,,,,,,,,,
191,Chicago Blackhawks,Brandon Whitney\whitnbr01,CA,G,18,,Victoriaville (QMJHL),,,,,,,,,,,,
192,Colorado Avalanche,Colin Smith\smithco01,CA,C,19,2015,Kamloops (WHL),1,0,0,0,0,0,,,,,,
193,Buffalo Sabres,Brady Austin\austibr01,CA,D,19,,Belleville (OHL),,,,,,,,,,,,
194,Florida Panthers,Jonatan Nielsen\nielsjo01,SE,D,19,,Linkoping Jr. (Sweden-Jr.),,,,,,,,,,,,
195,Washington Capitals,Christian Djoos\djoosch01,SE,D,18,,Brynas Jr. (Sweden-Jr.),,,,,,,,,,,,
196,Ottawa Senators,Mikael Wikstrand\wikstmi01,SE,D,18,,Mora (Sweden-2),,,,,,,,,,,,
197,Washington Capitals,Jaynen Rissling\risslja01,CA,D,18,,Calgary (WHL),,,,,,,,,,,,
198,San Jose Sharks,Joakim Ryan\ryanjo02,US,D,19,,Cornell (ECAC),,,,,,,,,,,,
199,Chicago Blackhawks,Matt Tomkins\tomkima01,CA,G,18,,Sherwood Park (AJHL),,,,,,,,,,,,
200,Detroit Red Wings,Rasmus Bodin\bodinra01,SE,LW,18,,Ostersunds (Sweden),,,,,,,,,,,,
201,Philadelphia Flyers,Valeri Vasiliev\vasilva01,RU,D,18,,Spartak 2 (Russia-Jr.),,,,,,,,,,,,
